Date,Net Sales,Orders,Guests
20240129,207.7,8,9
20240130,381.05,7,11
20240131,370.6,8,9
20240201,1964.05,21,37
20240202,1251.2,24,26
20240203,1437.55,25,48
20240204,659.65,14,17
20240205,879.51,16,25
20240206,288.5,9,13
20240207,1002.6,17,31
20240208,572.25,13,18
20240209,1739.25,32,53
20240210,2373.1,42,67
20240211,719.75,12,21
20240212,379.05,9,10
20240213,667.5,16,21
20240214,2586.4,40,63
20240215,1267.65,28,43
20240216,1465.55,32,48
20240217,2029.75,34,64
20240218,1272.45,21,42
20240219,1483.36,31,45
20240220,788.69,17,134
20240221,1149.9,24,42
20240222,1970.2,34,62
20240223,2843.14,45,95
20240224,2804.42,47,101
20240225,2017.7,29,61
20240226,872.62,23,29
20240227,1234.41,25,38
20240228,1687.25,18,32
20240229,1280.3,30,46
20240301,2721.81,46,82
20240302,3825,44,101
20240303,1000.6,27,51
20240304,2620.26,38,70
20240305,2288.73,34,70
20240306,1851.53,28,50
20240307,2687.98,49,93
20240308,5628.97,82,173
20240309,4359.88,56,142
20240310,3336.21,48,113
20240311,2269.42,42,77
20240312,3699.79,65,128
20240313,3881.68,68,143
20240314,4154.46,68,130
20240315,4700.65,65,134
20240316,3435.7,49,114
20240317,2768.41,39,82
20240318,2701.46,38,70
20240319,2453,37,72
20240320,3376.71,59,99
20240321,2271.34,43,71
20240322,5059.37,76,130
20240323,6761.92,89,135
20240324,3240.69,46,84
20240325,3058.14,47,273
20240326,2612.1,46,67
20240327,2089.53,45,65
20240328,2986.64,58,82
20240329,6492.93,93,155
20240330,7029.2,93,166
20240331,4329.08,63,99
20240401,3988.01,66,95
20240402,3103.63,62,86
20240403,3199.26,57,88
20240404,3820.88,71,111
20240405,8708.31,125,199
20240406,6068.35,89,150
20240407,4552.38,64,110
20240408,5152.48,59,86
20240409,3342.02,62,86
20240410,4207.91,73,110
20240411,4489.55,72,112
20240412,9006.51,134,204
20240413,8490.55,111,178
20240414,5640.65,88,123
20240415,3262.06,54,84
20240416,4633.06,80,135
20240417,3681.64,70,109
20240418,5114.98,83,118
20240419,8758.08,133,197
20240420,10670.25,165,264
20240421,6418.25,93,135
20240422,4101.84,74,110
20240423,4498.86,66,91
20240424,5924.65,91,150
20240425,6089,102,155
20240426,8852.81,132,212
20240427,6752.55,105,151
20240428,5232.05,88,137
20240429,4995.78,92,113
20240430,4281.12,79,117
20240501,3954,74,105
20240502,5597.03,98,152
20240503,9308.82,133,191
20240504,8353.16,120,204
20240505,6982.8,93,180
20240506,3857.69,74,108
20240507,3821.99,65,87
20240508,5507.18,96,138
20240509,7369.34,118,178
20240510,13230.85,182,255
20240511,10548.5,160,241
20240512,11322.69,148,219
20240513,4462.93,79,120
20240514,4266.58,74,107
20240515,5845.87,97,130
20240516,5550.46,100,134
20240517,9825.46,169,232
20240518,11206.35,202,277
20240519,7128,91,185
20240520,3563.13,73,96
20240521,5515.12,91,143
20240522,5582.07,97,138
20240523,6621.12,113,154
20240524,8228.77,134,186
20240525,8371.85,107,153
20240526,4656.12,72,104
20240527,6401.53,93,132
20240528,3381.34,65,86
20240529,4374.54,82,112
20240530,6148.48,105,171
20240531,10132.97,154,252
20240601,8385.82,127,197
20240602,7358.03,101,172
20240603,4275.37,83,115
